GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openelisglobal,org.openelisglobal.test.controller.rest,BatchTestReassignmentRestController.StatusChangedMetaInfo,6,0,0,0,1,0,1,0,1,0
openelisglobal,org.openelisglobal.audittrail.controller,AuditTrailReportController,65,0,4,0,20,0,9,0,7,0
openelisglobal,org.openelisglobal.systemuser.form,UnifiedSystemUserForm,209,0,0,0,86,0,49,0,49,0
openelisglobal,org.openelisglobal.systemuser.form,UnifiedSystemUserMenuForm,37,0,0,0,16,0,9,0,9,0
openelisglobal,org.openelisglobal.program.bean,ImmunohistochemistryDashBoardCount,24,0,0,0,10,0,7,0,7,0
openelisglobal,org.openelisglobal.program.bean,CytologyDashBoardCount,24,0,0,0,10,0,7,0,7,0
openelisglobal,org.openelisglobal.program.bean,PathologyDashBoardCount,31,0,0,0,13,0,9,0,9,0
openelisglobal,org.openelisglobal.barcode.valueholder,BarcodeLabelInfo,60,9,4,0,23,4,12,2,10,2
openelisglobal,org.openelisglobal.organization.controller.rest,OrganizationRestController,1065,0,168,0,253,0,102,0,18,0
openelisglobal,org.openelisglobal.organization.controller.rest,OrganizationMenuRestController,333,0,28,0,81,0,26,0,12,0
openelisglobal,org.openelisglobal.display,URLForDisplay,24,0,0,0,10,0,7,0,7,0
openelisglobal,org.openelisglobal.search.service,LuceneSearchResultsServiceImpl,0,31,0,0,0,3,0,3,0,3
openelisglobal,org.openelisglobal.search.service,DBSearchResultsServiceImpl,0,31,0,0,0,3,0,3,0,3
openelisglobal,org.openelisglobal.sampleorganization.valueholder,SampleOrganization,31,16,0,0,11,5,7,2,7,2
openelisglobal,org.openelisglobal.gender.valueholder,Gender,6,34,0,0,1,15,1,10,1,10
openelisglobal,org.openelisglobal.referencetables.service,ReferenceTablesServiceImpl,53,47,4,2,11,11,8,9,6,8
openelisglobal,org.openelisglobal.program.dao.cytology,CytologySampleDAOImpl,137,4,0,0,23,2,8,1,8,1
openelisglobal,org.openelisglobal.analysisqaevent.valueholder,AnalysisQaEvent,118,16,4,0,42,5,22,2,20,2
openelisglobal,org.openelisglobal.systemuser.service,UserServiceImpl,1039,3,92,0,214,1,84,1,38,1
openelisglobal,org.openelisglobal.systemuser.service,UnifiedSystemUserServiceImpl,34,3,2,0,8,1,2,1,1,1
openelisglobal,org.openelisglobal.systemuser.service,SystemUserServiceImpl,167,12,14,0,37,4,19,3,12,3
openelisglobal,org.openelisglobal.analysis.service,AnalysisServiceImpl,957,19,109,1,190,7,149,2,94,2
openelisglobal,org.openelisglobal.common.management.controller,UomManagementController,32,0,2,0,11,0,8,0,7,0
openelisglobal,org.openelisglobal.common.management.controller,PanelManagementController,24,0,2,0,8,0,6,0,5,0
openelisglobal,org.openelisglobal.common.management.controller,TestManagementConfigMenuController,24,0,2,0,8,0,6,0,5,0
openelisglobal,org.openelisglobal.common.management.controller,MethodManagementController,24,0,2,0,8,0,6,0,5,0
openelisglobal,org.openelisglobal.common.management.controller,SampleTypeManagementController,24,0,2,0,8,0,6,0,5,0
openelisglobal,org.openelisglobal.common.management.controller,TestSectionManagementController,24,0,2,0,8,0,6,0,5,0
openelisglobal,org.openelisglobal.patientidentitytype.valueholder,PatientIdentityType,0,24,0,0,0,10,0,7,0,7
openelisglobal,org.openelisglobal.dataexchange.aggregatereporting.valueholder,ReportQueueType,18,6,0,0,8,2,5,2,5,2
openelisglobal,org.openelisglobal.dataexchange.aggregatereporting.valueholder,ReportExternalExport,57,6,0,0,24,2,16,2,16,2
openelisglobal,org.openelisglobal.dataexchange.aggregatereporting.valueholder,ReportExternalImport,39,6,0,0,17,2,11,2,11,2
openelisglobal,org.openelisglobal.analyzerimport.controller,AnalyzerTestNameController,382,0,36,0,105,0,35,0,17,0
openelisglobal,org.openelisglobal.analyzerimport.controller,AnalyzerTestNameMenuController,345,0,26,0,87,0,26,0,13,0
